txt,情感分数,情感类型,分词,主题概率,主题类型
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。于是婚姻缺失了应有的门槛，变成了一次高风险低回报的抽奖活动。最后奖品不尽如人意，看笑话的，还是原来那一帮人。 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 高风险 抽奖 奖品 一帮人,"[(0, 0.99626213)]",0
  面对人生旅途生活中的挫折与磨难，我们不仅要有勇气，算命八字合婚更要有坚强的信念。 怎么挽回异地恋异国恋分手后怎么挽回老公出轨了怎么办，怎么挽回同性恋，怎么挽回前任 ，怎么挽回爱情，怎么挽回前女友，怎么挽回前男友，性格不合怎么挽回前妻，怎么挽回婚姻。 收起,0.999999999999608,积极,人生旅途 挫折 磨难 勇气 八字 信念 异地 异国恋 老公 前任 爱情 前女友 前男友 性格不合 前妻 婚姻,"[(0, 0.9548388), (1, 0.045161176)]",0
//:祝福你！也感谢你父母的理解和对你的爱护。//: 我是来感谢的，昨天晚上放给我妈听了，我妈听完没有说话，然后今天早上默默给我说，不逼我相亲了特地来感谢我之前都想找个同性恋假结婚了，被逼婚的感觉真的太惨了  评论配图,0.999990519333488,积极,祝福 父母 感觉 评论,"[(0, 0.48406243), (1, 0.51593757)]",1
这部电影里的有色人种，同性恋者，失语者，身份缺失，这些边缘人群，让我想起了今年又出续的二十年前老番魔卡，大妈的作品里也有单亲家庭，师生恋，同性恋，而妈们也没有把他们描写得有什么不一样，除了这些特征，其他方面也跟普通人一样啊～无论是同性恋，还是单亲家庭，失语者，他们都是正常人，他们只是不同，没有高低，没有对错 收起,0.998838905139413,积极,电影 同性恋者 身份 边缘 人群 魔卡 大妈 作品 单亲家庭 师生恋 妈们 特征 普通人 单亲家庭 正常人,"[(0, 0.9523382), (1, 0.047661778)]",0
历史的进程，了解一下：1994年帕萨雷拉出任阿根廷国家队主教练。上任之初，帕萨雷拉要求队员剪掉长发，禁止搞同性恋。阿根廷著名球星雷东多、卡尼吉亚因拒绝剪掉长发而不能进入国家队。1998年，帕萨雷拉带领的阿根廷国家队仅仅打入八强。仅仅12年前，这支队伍还是世界冠军。从此之后，这支队伍再也没得过世界冠军。要求队员剪掉长发，会让一支冠军队再也得不了冠军。要求队员不得纹身，能让一支经常垫底的队伍怎样呢？没有帕萨雷拉的命，得了帕萨雷拉的病，这病，得送到杨教授那里电一电才能好。（我家小卡美图镇楼） 收起,0.999999995323309,积极,历史 进程 阿根廷 国家队 主教练 队员 长发 阿根廷 著名 球星 雷东 卡尼吉亚 长发 国家队 阿根廷 国家队 八强 队伍 世界冠军 队伍 世界冠军 队员 长发 冠军队 冠军 队员 纹身 垫底 队伍 教授 小卡美,"[(0, 0.982459), (1, 0.01754096)]",0
看见鞋印是凸起来的→_→同性恋，看见鞋印凹下去的→_→异性恋。据说这很科学。 ​,0.199727266331445,消极,鞋印 鞋印 异性恋 科学,"[(0, 0.71024925), (1, 0.28975075)]",0
情况好转，恭喜宝宝 能遇到爱的人是不容易的，爱他就抓紧挽回他，别错过后悔一辈子，今天是个复合的好日子，宝宝很会抓紧时机哦，对方已经主动相约，期待你们的好消息 ​,0.999985394387124,积极,情况 恭喜 宝宝 宝宝 时机 好消息,"[(0, 0.9122521), (1, 0.087747835)]",0
当在文明广场上说同性恋交友会怎么样。 吃鸡搞笑视频搬运的秒拍视频 ​,0.728129359965053,积极,文明 广场 交友 视频 视频,"[(0, 0.11408951), (1, 0.8859105)]",1
战争背景的原作量产环球旅行同性恋薄本作者（顿悟 ​,0.999066393919639,积极,战争 背景 原作 量产 环球旅行 薄本 作者,"[(0, 0.22831346), (1, 0.77168655)]",1
有关美苏冷战 有关种族歧视 有关同性恋 有关残疾 有关跨越种族的爱情 有一点点沉重 但是通过电影配乐的调和不会特别紧张。剧情和画面都还不错诶 是今年看过的电影里很优质的一部了(´-ω-`)完事还吃了酸汤鱼首尾呼应一下！嘻嘻(⁄ ⁄•⁄ω⁄•⁄ ⁄) ​,0.999999870314389,积极,美苏 残疾 种族 爱情 沉重 电影 紧张 剧情 画面 不错 电影 优质 首尾呼应,"[(0, 0.0463191), (1, 0.95368093)]",1
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。  哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。  哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。  于是婚姻缺失了应有的门槛，变成了一次高风险低回报的抽奖活动。  最后奖品不尽如人意，看笑话的，还是原来那一帮人。  《愿所有姑娘都可以嫁给爱情》 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 高风险 抽奖 奖品 一帮人 姑娘 爱情,"[(0, 0.9963039)]",0
给自己贴上个同性恋的标签真的一点儿都不酷哈，人群跟我们每个人都一样的，反正我觉得那些喜欢铁的女孩们还是异性恋，别自欺欺人啦，你真的很好笑哦。 ​,0.0769851736040377,消极,标签 不酷 人群 女孩 异性恋,"[(0, 0.7685083), (1, 0.2314917)]",0
一刻不得闲：利字摆中间，第四……“你我皆凡人；双鱼座……第一名；双子座：生在人世间，第三名；第二名。 2滨州·惠民县公安局 ​,0.0464127745690002,消极,利字 凡人 双鱼座 双子座 人世间 滨州 惠民县 公安局,"[(0, 0.9312503), (1, 0.068749666)]",0
