content,class,fenci
弹幕真的酸的不行笑死我了。。“有钱干啥都行”猜你想看王思聪五年赔了三个亿成为被执行人真以为有钱就是万能的啊,相对剥夺,弹幕 不行 有钱 都行 被执行人 有钱
羡慕上流社会的人脉圈,群体对立,羡慕 人脉
拍梁朝伟是最简单了，他眼睛都有洗,其他,简单 眼睛
拍的真好看,不良示范,好看
温暖，质感，让人想哭,其他,温暖 质感
这就是人脉区主吗,群体对立,人脉 区主
好想妹妹拍一下星爷啊，哈哈哈，我最近好喜欢他,不良示范,妹妹 星爷 喜欢
有水平啊！这拍摄,不良示范,水平 拍摄
这么大的小孩子能和影帝合作是业务的优秀吗 不 是资本的强大 又羡慕又惋惜 果然还是资本厉害,群体对立,小孩子 影帝 业务 优秀 资本 强大 羡慕 惋惜 资本 厉害
觉得最好看的男演员,其他,好看 男演员
这是什么背景？,相对剥夺,背景
未闻测名这又多一个,相对剥夺,未闻 测名
即使是60岁70岁，依然气质拉满，万中无一的好演员。时光飞逝啊！,其他,气质 演员 时光 飞逝
卧槽，太有气质了,其他,卧槽 气质
啥时候给周星驰拍照啊,相对剥夺,拍照
新电影上映时,其他,电影 上映
马彤芯越来越稳重了，前年代表腾讯参加慈善活动时，还有点腼腆,不良示范,稳重 代表 参加 腼腆
这算不算变相炫富,相对剥夺,算不算 变相 炫富
梁朝伟就是拿老人机拍出来都是哪个感觉，太帅了,相对剥夺,老人 机拍 感觉 太帅
什么背景啊这女孩？？？,相对剥夺,背景 女孩
前面在腾讯年会上见过她代表发言🤗害 没必要攀比 人生三六九 比来比去总有比不过的,相对剥夺,代表 发言 攀比 人生
梁朝伟真是越老越有味道，太帅了,其他,味道 太帅
谁能告诉我这个小矮人是谁？什么身份背景？,相对剥夺,告诉 身份 背景
虽然上年纪了 这个笑还是那么迷人,其他,迷人
这张最有感觉,其他,感觉
这个男人太帅了,其他,男人 太帅
这小孩儿什么背景,相对剥夺,小孩儿 背景
梁朝伟眼睛有故事,其他,眼睛 故事
随便一站就是影帝啊,其他,影帝
好好的人 演什么上气呢,其他,上气
这个眼神太有爱了吧,其他,眼神
你确实牛逼，拍的都是大腕,相对剥夺,确实 大腕
太有感觉了,其他,感觉
越看越有味道,其他,味道
资源非常强大！,群体对立,资源 强大
又感觉到了梁朝伟的帅！,其他,感觉
第一首歌是什么歌名啊,其他,歌名
我想……我超級努力、超辛苦的，省略10萬字奮鬥史……啊？家裡？沒有啦~家裡只幫了我億點點……感覺全世界好多類似的……,相对剥夺,努力 辛苦 省略 字奮鬥史 沒有 感覺 全世界
我一个男人都羡慕你啊妹妹。梁朝伟在我心目中地位有点点高于刘德华,不良示范,男人 羡慕 妹妹 心目 地位 点点 高于
小朋友拍照手感这么好,不良示范,小朋友 拍照 手感
这种样貌的孩子一看就是从小在国外长大的，标准的亚裔长相，喝国外水吃国外饭长大的亚裔小孩一眼就能分辨出来，只有自己努力了加上运气好后代或许才能过上这种的生活，只能说努力吧~,不良示范,样貌 孩子 标准 亚裔 亚裔 小孩 分辨 努力 运气 只能 努力
拜托 梁朝伟真的好帅啊啊啊啊啊,其他,好帅
什么家庭啊？！,相对剥夺,家庭
我想知道她爹妈是谁,相对剥夺,爹妈
这个妹妹好厉害,相对剥夺,妹妹 厉害
八旗子弟都是邀请名角儿玩票的，，，,污名化,八旗子弟 邀请 名角儿 玩票
不去天台拍几张吗,其他,天台
第一眼感觉到东成西就里面欧阳锋的味道了,其他,感觉 味道
! 什么背景啊？梁朝伟也拍到,相对剥夺,背景 拍到
 识别音乐,其他,识别 音乐
伟哥这么老了？,其他,伟哥
这小孩谁呀，这么厉害,相对剥夺,小孩 厉害
我虽然拍人不太好…但是…拍景有一点技术…,其他,不太好 拍景 技术
我好羡慕，我的男神,其他,男神
这个小孩是什么家庭？,相对剥夺,小孩 家庭
拍他显示不出来技术，这家伙这么好看，拿个电话座机随手拍也很出片了。,相对剥夺,显示 技术 家伙 好看 电话 座机 出片
是的 他怎么摆 都能出来 海报电影杂志的感觉,相对剥夺,海报 电影 杂志 感觉
我生气了 找他拍不找我拍,相对剥夺,生气
有的人出生就在罗马，有的人出生就是骡马,污名化,出生 出生 骡马
羡慕你的命，吸一吸你的福气。,不良示范,羡慕 福气
评论区一堆骡马赞罗马，还嘲笑其他骡马酸，真是没救了，都是骡马何必呢，自我感觉自己也上了罗马吗？乐,污名化,评论 骡马 嘲笑 骡马 没救 骡马
梁朝伟也老了，印象中还是韩城攻略的样子,其他,印象 攻略 样子
和汤唯演色戒那个？,其他,演色
这是什么 噱头吗,相对剥夺,噱头
天龙人摄影师,污名化,摄影师
永远滴神,其他,滴神
大概是什么焦段呢,其他,焦段
这小孩这人脉资源……,群体对立,小孩 资源
艺术圈拼的就是谁人脉广,群体对立,艺术 圈拼 人脉
从小看梁朝伟的电视剧电影长大的，侠客行，绝代双骄，新扎师兄……伟仔就是我男神！,其他,电视剧 电影 侠客行 男神
为什么感觉这么老了…,其他,感觉
资源丰富,群体对立,资源
这才是站宣传片里的《后浪》吧可以拥有自由选择的权利，去毫无顾忌的做自己习惯的事情,不良示范,宣传片 后浪 拥有 权利 习惯 事情
和蔼的老人,其他,老人
90年上小学的时候，看了梁朝伟演的侠客行，现在记忆犹新，好演员。,其他,小学 侠客行 演员
原来这就是电影脸 照片都像在讲故事,其他,电影 照片 讲故事
我怎么觉得拍的还可以哇，为啥都在讨论背景啊,不良示范,讨论 背景
导演就李安，演员就梁朝伟还有可以和以上两位并驾齐驱，在我心里胜过别人更多的，周星驰先生,其他,导演 演员 胜过
这是后浪中的后浪,相对剥夺,后浪 后浪
回复  :惊涛骇浪,相对剥夺,回复
不如叫后台（对不起我真的酸了）,相对剥夺,后台
 这个小女孩好猛,相对剥夺,小女孩
爹摄影厉害，历练出来了。,不良示范,摄影 厉害 历练
有后台的后浪，起点就是大多数人到不了的终点,相对剥夺,后台 后浪 起点
这是制造浪的人,其他,制造
知道海啸嘛？一开始海啸只是个小小的波涛然后经过风力的助推外加海浪的叠加变得越来越高，而这个小妹妹不是后浪而是海啸的那个浪头，而海啸不会看浪头多牛逼一般看浪有多大，浪头被堆到多高,相对剥夺,海啸 海啸 风力 外加 叠加 变得 后浪 海啸 浪头 海啸 浪头 浪头 堆到
回复  :我也酸了,相对剥夺,回复
回复  :你是想笑死我,其他,回复
啥时候拍下汤唯,不良示范,拍下
梁朝伟是真帅啊,其他,真帅
什么逆天背景,相对剥夺,背景
很难想象他父亲的力量有多大,相对剥夺,想象 父亲 力量
没有吧，也是一个摄影师,其他,摄影师
回复  :普通人，哪怕是小康中的小康，连联系上这些大佬都难，更不要说请过来陪孩子耍,相对剥夺,回复 普通人 孩子
回复  :你说这话你自己信吗？,其他,回复
邹瑜鹏2010年毕业于上海大学2012年接触摄影，仅一年时间获得2013年网年度实力人像摄影师，摄影杂志《人像摄影》专题报道。融合欧美的情绪范，如何用好光影构图。难道还有什么隐藏身份？,相对剥夺,毕业 接触 摄影 时间 年度 实力 摄影师 摄影 杂志 摄影 专题报道 情绪 光影 构图 隐藏 身份
虽然父亲厉害，那妈妈就没有一点帮助吗,其他,父亲 厉害 妈妈
回复  :背靠父母是吧,相对剥夺,回复 背靠 父母
回复  :开玩笑,其他,回复 开玩笑
回复  :你怕是在想屁吃,其他,回复
回复  :必然有，其他人就不说了，就说刘德华和梁朝伟这两个人算是天花板了吧，钱，名，曝光度对他们这种人已经不需要了，感觉目前除了央视这种级别的才能请动，所以说这女的背后的那个实力深不可测,相对剥夺,回复 算是 天花板 感觉 级别 请动 实力
我边看边不由自主的笑了，太温柔了,其他,温柔
省流，人帅怎么拍都好看,相对剥夺,省流 人帅 好看
真让人烦,其他,真让人
我天啊啊啊啊竟然才刷到,相对剥夺,刷到
昨天刚看了遍尚气，文武演的吊打男女主,其他,尚气 吊打 男女
看这种视频会让普通人开心吗？不会的，他们只会感到一种彻骨的悲凉，视频只会又一次狠狠地提醒他们，有人一出生就在罗马了，有些人终其一生辛苦努力了一辈子才能得到别人一出生就能得到的。,污名化,视频 普通人 开心 感到 悲凉 视频 提醒 出生 辛苦 努力 出生
确实，真羡慕这小孩，这辈子都没烦恼了,不良示范,确实 羡慕 小孩 烦恼
这是任何努力都跨越不了的阶级力量,群体对立,努力 跨越 阶级 力量
资源真好啊,群体对立,资源
这小女孩背景很厉害吗？,相对剥夺,小女孩 背景 厉害
小老师,不良示范,老师
流量为王，你没有流量而已,不良示范,流量 流量
我靠，这丫头也太有面儿了吧。。,相对剥夺,丫头 面儿
厉害,相对剥夺,厉害
硬幣是給梁朝偉先生的,相对剥夺,硬幣
梁朝伟现在看起来好像李云龙,相对剥夺,好像
这必须得点赞投币,不良示范,投币
好心动啊,其他,心动
她啥背景啊，这么强？,相对剥夺,背景
真的好好看梁朝伟先生，不亏是拿影帝拿到手软的男人,其他,好好看 影帝 拿到 手软 男人
相片和数码两个成像清晰度不一样怎么做到的，是孩子拍一次大人再拍一次么？,其他,相片 数码 成像 清晰度 孩子 大人
雄关漫道真如铁 而今迈步从头越,其他,雄关 漫道 迈步
这次我想做个好人，给我一个机会。你去和法官说吧。,其他,好人 机会 法官
他这个相机是不是自带修颜,其他,自带
从小的男神啊 我31了,其他,男神
梁朝伟长的真的像我舅舅,其他,舅舅
衣服有没有链接,其他,衣服 有没有 链接
有照片分享吗  ,其他,照片 分享
照片在哪看,其他,照片
  主能给成龙和周影驰拍照吗？刘德华梁朝伟都拍了，应该不差成龙和成龙吧。,相对剥夺,主能 周影 拍照
小妹妹犀利,不良示范,犀利
到底什么背景,相对剥夺,背景
家庭不一般,相对剥夺,家庭
梁朝伟的表现力真的没话说啊,其他,表现力
就是资源好点吧，其实没啥了,群体对立,资源
这这这是什么背景😂,相对剥夺,背景
我太喜欢你了李幼斌老师,其他,喜欢 老师
说明摄影这东西某些时候真是随便拍,相对剥夺,摄影
时间过得好快，梁朝伟都这么老了,其他,时间
不会有人真的会觉得是因为摄影技术好 所以才能拍明星吧,相对剥夺,摄影 技术
陈冠希：在颜值这块，我愿称你为最强！,相对剥夺,颜值 最强
梁朝伟确实帅啊,其他,确实
陈冠希的女儿？,相对剥夺,女儿
应该给所有望子成龙望女成凤的家长看看～你想让孩子成为“龙凤“的话，首先你自己得是“龙凤“才行～～～,相对剥夺,家长 孩子
能拍到方大同吗,相对剥夺,拍到
有一个你弄胶片   梁朝伟回头那个可以拍,其他,胶片 回头
“你真的好可爱啊”，我有点过敏这句,其他,可爱
好烦哦，国内的人见了上了点年纪的演员明星歌手都叫老师,相对剥夺,好烦 演员 歌手 老师
我怕我拍的时候会直接睡过去了,其他,睡过去
艺术从来是垄断的,相对剥夺,艺术 垄断
神能帮我拍吗,相对剥夺,神能
妹妹，他是梁朝伟诶！！！,相对剥夺,妹妹
主要还是梁朝伟太有魅力了 也不油腻,其他,魅力 油腻
踩在父母的肩膀上看更广阔的世界，孩子长大会非常自信，但是过度了就容易有一种傲气，藐视一切,相对剥夺,父母 肩膀 上看 广阔 世界 孩子 大会 自信 过度 傲气 藐视一切
刘嘉玲能睁眼就看到这个男人，幸福啊,其他,睁眼 男人 幸福
先天摄影圣体,相对剥夺,摄影 圣体
金手指说句实话挺好看的，不知道为啥评分这么低,其他,好看 评分
小朋友太会拍了！,不良示范,小朋友 太会
她是陈奕迅的女儿吧，背景音乐是陈奕迅的,相对剥夺,女儿 背景音乐
这小女孩是什么人？,相对剥夺,小女孩
另一种形式的炫富,相对剥夺,形式 炫富
别看她这时候那么厉害，长大了能赚更多,相对剥夺,厉害 了能
拍梁朝伟还是得墨镜王🕶来拍,其他,墨镜
什么背景，这么硬,相对剥夺,背景
，这种大咖都能请来陪你玩,相对剥夺,咖都 请来 陪你玩
有钱有人脉真好,群体对立,有钱
人脉广,群体对立,人脉
我的妈呀越来越离谱了,相对剥夺,妈呀 离谱
我也喜欢汤唯,其他,喜欢
这是谁家的小孩子啊。这么多资源网她脸上送。,群体对立,小孩子 资源网
这人脉圈好霸气,群体对立,脉圈 霸气
从年轻帅到老，难怪陈老师会说再帅你帅的过梁朝伟？,相对剥夺,年轻
这种顶级资源都能拿到，很厉害,群体对立,顶级 资源 拿到 厉害
有的人出生就在罗马,污名化,出生
