original_content,processed_content
　トヨタの２４年のＥＶ販売は世界で１３万台。ＰＨＶも１５万台で、全体に占める比率はそれぞれ１％にとどまる。昨年１１月には、２６年に発売予定としていた次世代ＥＶの生産開始を２７年半ばに延期する方針を固めたことが明らかになった。,トヨタ 販売 世界 全体 占める 比率 とどまる 昨年 発売 予定 次世代 生産 開始 半ば 延期 方針 固め 明らか
　独自のソフトウェアや、アルミ部品を一体成型する手法などの新技術の開発に時間がかかっているようだ。２６年に１５０万台とするＥＶ生産・販売の目安は１００万台ほどに縮小した。,独自 ソフトウェア アルミ 部品 一体 成型 手法 技術 開発 時間 かかっ 生産 販売 目安 縮小
　中国・上海で生産するレクサスＥＶも、新規開発する車種だという。トヨタが重視する「マルチパスウェイ」（全方位）の開発には、ＥＶも含まれる。市場で米テスラが先行し、中国ＢＹＤが猛追する中、性能と価格の両面で魅力的な製品を作れるかが将来の競争力を左右しそうだ。,中国 上海 生産 レクサス 新規 開発 車種 トヨタ 重視 マルチパスウェイ 方位 開発 含ま 市場 テスラ 先行 中国 猛追 性能 価格 両面 魅力 製品 作れる 将来 競争 左右 そう
Title: 九州・山口に自動車産業進出して５０年「最も重要な生産拠点の一つ」…次の時代へ各社がＥＶ用電池工場計画,九州 山口 自動車 産業 進出 最も 重要 生産 拠点 一つ 時代 各社 電池 工場 計画
九州・山口に自動車産業が進出して５０年を迎える。石炭産業に代わる地域経済のけん引役として誘致した日産自動車が１９７５年４月、福岡県で工場を稼働させ、現在は大手４社が完成車の工場を置く。直近では各社がＥＶ（電気自動車）向け電池工場の新設も発表し、ＥＶ生産拠点として次の時代を歩もうとしている。（川口尚樹）,九州 山口 自動車 産業 進出 迎える 石炭 産業 代わる 地域 経済 けん引 誘致 日産自動車 福岡 工場 稼働 現在 大手 完成 工場 置く 直近 各社 電気 自動車 向け 電池 工場 新設 発表 生産 拠点 時代 歩も 川口 尚樹
　「品質とコスト競争力を意識している。九州から世界が感動する車とモノづくりを届けるのが仕事だ」,品質 コスト 競争 意識 九州 世界 感動 モノ づくり 届ける 仕事
　１月下旬、福岡県 苅田かんだ 町にある日産の生産子会社「日産自動車九州」で、次々にラインを流れる主力車「エクストレイル」を前に、第二組立課工長の湯朝博三さん（４４）が誇らしげに語った。,下旬 福岡 苅田 かん 日産 生産 子会社 日産自動車 九州 次々 ライン 流れる 主力 エクストレイル 組立 博三 さん 誇らしげ 語っ
　石炭から石油へのエネルギー転換で５０年代以降、九州の炭鉱が次々に閉山する中、財界と福岡県の誘致で進出したのが日産九州だ。進出決定を伝える７３年の苅田町の「町政だより」には「石炭産業の没落で斜陽化している九州、山口経済の“バネ”になるものと期待」という一文が残る。,石炭 石油 エネルギー 転換 年代 以降 九州 炭鉱 次々 閉山 財界 福岡 誘致 進出 日産 九州 進出 決定 伝える 苅田 石炭 産業 没落 斜陽化 九州 山口 経済 バネ 期待 一文 残る
　「ダットサントラック」に始まり、８２年から手掛けた乗用車「シルビア」が大ヒットして一気に生産を伸ばした。日産の輸出拠点としての役割も担い、現在の従業員は４０００人を超える。同じ敷地内で２０１０年に本格生産を始めた日産車体九州も含めると、日産の国内生産の７割を担う。,ダットサントラック 始まり 手掛け 乗用車 シルビア ヒット 一気に 生産 伸ばし 日産 輸出 拠点 役割 担い 現在 従業 超える 敷地 本格 生産 始め 日産車体 九州 含める 日産 国内 生産 担う
　九州・山口は土地や人材を確保しやすかったため、他社の進出も続いた。マツダの防府工場（山口県防府市）は１９８２年に生産を開始。９２年にはトヨタ自動車傘下のトヨタ自動車九州が福岡県宮若市で、２００４年にはダイハツ工業傘下のダイハツ九州が大分県中津市で、量産を始めた。,九州 山口 土地 人材 確保 やすかっ 他社 進出 続い マツダ 防府 工場 山口 防府 生産 開始 トヨタ自動車 傘下 トヨタ自動車 九州 福岡 若市 ダイハツ工業 傘下 ダイハツ 九州 大分 中津 量産 始め
　産業の勃興期だった１９７０年代に年間２０万台程度だった生産台数は、２０２３年度実績で国内全体の１８％にあたる１５４万台に上る。カナダやフランスの一国分と同規模だ。,産業 勃興 年代 年間 程度 生産 台数 年度 実績 国内 全体 上る カナダ フランス 国分 規模
　域内での存在感は大きい。九州の製造品出荷額（２０年）で自動車関連は４・４兆円と全体の１９％を占めてトップ。半導体関連（８％）の約２・５倍に上る。,域内 存在 大きい 九州 製造 出荷 自動車 関連 全体 占め トップ 半導体 関連 上る
Title: トヨタ、レクサスＥＶ工場を上海に新設へ…中国で初の単独資本「商品力磨く」,トヨタ レクサス 工場 上海 新設 中国 単独 資本 商品 磨く
トヨタ自動車は５日、中国・上海に高級車ブランド「レクサス」の電気自動車（ＥＶ）を生産する工場を新設すると発表した。中国でレクサスのＥＶを生産するのは初めてで、２０２７年以降に生産を始め、ＥＶ用電池も製造する計画だ。,トヨタ自動車 中国 上海 高級 ブランド レクサス 電気 自動車 生産 工場 新設 発表 中国 レクサス 生産 初めて 以降 生産 始め 電池 製造 計画
　今年前半をめどに上海市にＥＶや電池の開発、生産を担う子会社を設立する。資本金は１０７１億円で、トヨタとして中国で初めての単独資本となる。生産能力は年１０万台で、約１０００人の新規雇用を見込む。上田裕之・渉外広報本部長は「中国はＥＶの需要が大きいだけでなく、技術でも世界をリードする国になっている。中国で商品力を磨く」と述べた。,今年 前半 めど 上海 電池 開発 生産 担う 子会社 設立 資本 トヨタ 中国 初めて 単独 資本 生産 能力 新規 雇用 見込む 上田 裕之 渉外 広報 本部 中国 需要 大きい 技術 世界 リード 中国 商品 磨く 述べ
　また、トヨタは米ノースカロライナ州に２兆円超を投じて建設中の電池工場について、今年４月に出荷を始めると発表した。北米向けのＥＶなどに搭載する電池で、約５０００人の雇用を予定している。,トヨタ ノースカロライナ 投じ 建設 電池 工場 今年 出荷 始める 発表 北米 向け 搭載 電池 雇用 予定
　トヨタの米国での投資額は累計４９０億ドル（約７兆５０００億円）となり、約２８万人の雇用につながっている。トヨタは米中の２大市場で積極的な投資を続ける方針だ。,トヨタ 米国 投資 累計 ドル 雇用 つながっ トヨタ 市場 積極 投資 続ける 方針
Title: トヨタが上海に新工場、レクサスＥＶを年間１０万台生産…１０００人程度の雇用見込む,トヨタ 上海 工場 レクサス 年間 生産 程度 雇用 見込む
トヨタ自動車は５日、中国・上海に、高級車ブランド「レクサス」の電気自動車（ＥＶ）を製造する工場を新設すると発表した。合弁ではなく単独出資（独資）とし、２０２７年以降に生産を始める。,トヨタ自動車 中国 上海 高級 ブランド レクサス 電気 自動車 製造 工場 新設 発表 合弁 単独 出資 以降 生産 始める
　新工場では、新たに開発するレクサスのＥＶを生産する。生産能力は年間１０万台程度で、１０００人程度の新規雇用を見込む。,工場 新た 開発 レクサス 生産 生産 能力 年間 程度 程度 新規 雇用 見込む
